new_id,enrolled,To which of the following do you have access to this Spring Quarter?,"Use the map below to answer this question. During this quarter, what time zone are you in? (For example, if you are in San Diego, your answer would be -7. If you are in UTC, respond with 0)","Check all that apply: Before COGS 108, which of the following skills do you feel you possess? (Note: you're not expected to have any of these before taking the class; we're just curious!)",In which of the following programming language(s) are you comfortable? Check all that apply.,"Which of the following topics are you familiar with? (Here, familiar means you could explain the topic clearly to a friend without Googling it first.) Check all that apply.",How comfortable are you with statistics?,How comfortable are you with programming?
088_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8,Communicate results concisely and effectively in reports and presentations,None of these (I'm not comfortable programming),"none of the above, A|B testing",4,2
089_sp21,1,NA,NA,NA,NA,NA,NA,NA
090_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java",none of the above,5,8
091_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Communicate results concisely and effectively in reports and presentations","Python, Java",version control (i.e. git),5,7
092_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python","Python, Java","data science, Python, Jupyter Notebooks, pandas (the package, not the animal), sklearn",3,8
093_sp21,1,NA,NA,NA,NA,NA,NA,NA
094_sp21,1,NA,NA,NA,NA,NA,NA,NA
095_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, R","data science, GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",8,10
096_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",9,10
097_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java, MATLAB","data science, GitHub, Python, JSON, p-value, A|B testing",7,7
098_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,None of these (I'm not comfortable programming),none of the above,7,4
099_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, pandas (the package, not the animal), sklearn",10,10
100_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations",Python,"GitHub, Python, Jupyter Notebooks, confounding",4,6
101_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,"data science, Python, pandas (the package, not the animal)",5,6
102_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",6,7
103_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task",Python,"Python, p-value, p-hacking, A|B testing",6,8
104_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java","GitHub, Python, Jupyter Notebooks, JSON, sklearn",8,10
105_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,none of the above,5,5
106_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java, MATLAB","data science, Python, Jupyter Notebooks, tabular data, machine learning, confounding, p-value",6,6
107_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,"GitHub, Python, pandas (the package, not the animal), A|B testing",2,2
108_sp21,1,A functioning laptop or tablet,-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Communicate results concisely and effectively in reports and presentations","Python, MATLAB","data science, GitHub, Python, Jupyter Notebooks, machine learning, p-value, pandas (the package, not the animal)",3,5
109_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task",Java,GitHub,7,10
110_sp21,1,NA,NA,NA,NA,NA,NA,NA
111_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,Python,"Python, Jupyter Notebooks, confounding, p-value",6,8
112_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",7,9
113_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task",Python,"data science, Python, Jupyter Notebooks, tabular data, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",9,5
114_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",7,8
